, ,RSSI,Unnamed: 0,activity,id,phase,run,time
1,,-57,1,1,3,171,3,16 45 55 28327
3,,-57,3,1,3,171,3,16 45 55 28378
5,,-56,5,1,3,171,3,16 45 55 28427
7,,-56,7,1,3,168,3,16 45 55 28494
10,,-57,10,1,3,168,3,16 45 55 28544
44,,-58,44,1,3,171,3,16 45 56 29410
45,,-58,45,1,3,171,3,16 45 56 29444
78,,-58,78,2,3,174,3,16 46 1 33827
92,,-57,92,2,3,171,3,16 46 1 34244
97,,-57,97,2,3,171,3,16 46 1 34411
99,,-57,99,2,3,171,3,16 46 1 34477
102,,-55,102,2,3,174,3,16 46 1 34561
104,,-55,104,2,3,177,3,16 46 1 34594
105,,-55,105,2,3,171,3,16 46 2 34628
108,,-55,108,2,3,171,3,16 46 2 34694
118,,-55,118,2,3,174,3,16 46 2 34945
122,,-58,122,2,3,171,3,16 46 2 35027
132,,-55,132,2,3,171,3,16 46 2 35278
133,,-55,133,2,3,174,3,16 46 2 35311
135,,-53,135,2,3,168,3,16 46 2 35361
137,,-55,137,2,3,171,3,16 46 2 35411
140,,-55,140,2,3,174,3,16 46 2 35494
143,,-56,143,2,3,168,3,16 46 2 35545
145,,-57,145,2,3,174,3,16 46 2 35593
148,,-57,148,2,3,177,3,16 46 3 35661
153,,-58,153,2,3,171,3,16 46 3 35794
156,,-57,156,2,3,174,3,16 46 3 35877
159,,-57,159,2,3,174,3,16 46 3 35944
183,,-56,231,3,3,174,3,16 46 13 45778
185,,-55,233,3,3,168,3,16 46 13 45828
186,,-55,234,3,3,171,3,16 46 13 45845
189,,-55,237,3,3,171,3,16 46 13 45895
191,,-53,239,3,3,171,3,16 46 13 45944
193,,-53,241,3,3,171,3,16 46 13 45978
194,,-53,242,3,3,174,3,16 46 13 46010
197,,-53,245,3,3,168,3,16 46 13 46061
198,,-52,246,3,3,177,3,16 46 13 46111
201,,-55,249,3,3,174,3,16 46 13 46195
204,,-55,252,3,3,168,3,16 46 13 46244
205,,-53,253,3,3,171,3,16 46 13 46261
207,,-55,255,3,3,171,3,16 46 13 46295
209,,-53,257,3,3,174,3,16 46 13 46328
211,,-53,259,3,3,171,3,16 46 13 46394
213,,-53,261,3,3,174,3,16 46 13 46428
215,,-53,263,3,3,174,3,16 46 13 46460
216,,-55,264,3,3,174,3,16 46 13 46477
219,,-53,267,3,3,171,3,16 46 13 46561
221,,-53,269,3,3,171,3,16 46 13 46595
222,,-53,270,3,3,174,3,16 46 14 46629
225,,-52,273,3,3,165,3,16 46 14 46678
227,,-53,275,3,3,171,3,16 46 14 46728
228,,-52,276,3,3,174,3,16 46 14 46745
230,,-52,278,3,3,174,3,16 46 14 46794
231,,-53,279,3,3,174,3,16 46 14 46828
234,,-52,282,3,3,174,3,16 46 14 46911
235,,-52,283,3,3,171,3,16 46 14 46928
237,,-52,285,3,3,174,3,16 46 14 46961
240,,-52,288,3,3,171,3,16 46 14 47028
241,,-53,289,3,3,168,3,16 46 14 47045
244,,-53,292,3,3,168,3,16 46 14 47127
245,,-52,293,3,3,168,3,16 46 14 47144
248,,-52,296,3,3,174,3,16 46 14 47212
252,,-55,300,4,3,174,3,16 46 16 49212
253,,-55,301,4,3,174,3,16 46 16 49262
255,,-56,303,4,3,174,3,16 46 16 49295
258,,-56,306,4,3,171,3,16 46 16 49345
259,,-56,307,4,3,171,3,16 46 16 49378
262,,-58,310,4,3,171,3,16 46 16 49428
302,,-57,350,4,3,177,3,16 46 18 50711
303,,-57,351,4,3,174,3,16 46 18 50762
304,,-57,352,4,3,174,3,16 46 18 50794
305,,-58,353,4,3,171,3,16 46 18 50861
306,,-58,354,4,3,174,3,16 46 18 50895
307,,-57,355,4,3,168,3,16 46 18 50928
308,,-58,356,4,3,168,3,16 46 18 50994
309,,-57,357,4,3,171,3,16 46 18 51045
310,,-57,358,4,3,174,3,16 46 18 51079
311,,-57,359,4,3,171,3,16 46 18 51145
312,,-57,360,4,3,168,3,16 46 18 51162
313,,-58,361,4,3,174,3,16 46 18 51196
314,,-58,362,4,3,174,3,16 46 18 51229
315,,-57,363,5,3,174,3,16 46 20 52944
316,,-58,364,5,3,168,3,16 46 20 52995
317,,-57,365,5,3,174,3,16 46 20 53045
318,,-56,366,5,3,171,3,16 46 20 53062
319,,-57,367,5,3,171,3,16 46 20 53111
320,,-56,368,5,3,171,3,16 46 20 53161
321,,-57,369,5,3,171,3,16 46 20 53195
322,,-56,370,5,3,174,3,16 46 20 53228
323,,-55,371,5,3,174,3,16 46 20 53262
324,,-56,372,5,3,171,3,16 46 20 53312
325,,-56,373,5,3,174,3,16 46 20 53345
326,,-56,374,5,3,174,3,16 46 20 53378
328,,-57,376,5,3,171,3,16 46 20 53444
330,,-57,378,5,3,174,3,16 46 20 53495
332,,-57,380,5,3,177,3,16 46 20 53561
334,,-57,382,5,3,171,3,16 46 20 53594
337,,-57,385,5,3,174,3,16 46 21 53679
339,,-57,387,5,3,168,3,16 46 21 53710
341,,-58,389,5,3,168,3,16 46 21 53745
343,,-56,391,5,3,168,3,16 46 21 53810
397,,-58,445,6,3,174,3,16 46 25 58095
398,,-58,446,6,3,174,3,16 46 25 58129
400,,-57,448,6,3,171,3,16 46 25 58177
402,,-57,450,6,3,171,3,16 46 25 58246
404,,-55,452,6,3,168,3,16 46 25 58278
405,,-55,453,6,3,174,3,16 46 25 58312
406,,-55,454,6,3,177,3,16 46 25 58328
